lclc145576_g1_i1m.265,A0A2B4SZF0,,,,,,,,,,,,,,,,
lclc157567_g1_i1m.372,A0A2B4SVB7,,,,,,,,,,,,,,,,
lclc164490_g1_i1m.440,A0A2B4RGC1,,,,,,,,,,,,,,,,
lclc167783_g1_i1m.480,A0A2B4SEX5,,,,,,,,,,,,,,,,
lclc169761_g1_i1m.505,A0A2B4SHW7,,,,,,,,,,,,,,,,
lclc176627_g1_i2m.576,A0A2B4SGP6,,,,,,,,,,,,,,,,
lclc176627_g1_i2m.576,A0A2B4SGP6,,,,,,,,,,,,,,,,
lclc176630_g1_i1m.578,A0A2B4S6N7,,,,,,,,,,,,,,,,
lclc177410_g1_i1m.597,C3Y0S2,,,,,,,,,,,,,,,,
lclc178509_g1_i1m.610,A0A2B4RK46,,,,,,,,,,,,,,,,
lclc182463_g1_i1m.663,A0A2B4S7P5,,,,,,,,,,,,,,,,
lclc185746_g1_i1m.708,A0A2B4RY44,,,,,,,,,,,,,,,,
lclc185746_g2_i1m.710,A0A2B4RY44,,,,,,,,,,,,,,,,
lclc185883_g1_i2m.712,A0A2B4SKU5,,,,,,,,,,,,,,,,
lclc187253_g2_i1m.744,A0A2B4SH71,,,,,,,,,,,,,,,,
lclc188047_g2_i2m.760,A0A2B4SQD7,,,,,,,,,,,,,,,,
lclc188321_g2_i1m.774,A0A2B4S4H9,,,,,,,,,,,,,,,,
lclc191252_g1_i1m.840,A0A2B4RZV4,,,,,,,,,,,,,,,,
lclc192621_g3_i1m.866,A0A1S3I8J3,,,,,,,,,,,,,,,,
lclc194625_g1_i1m.911,A0A2B4SUZ6,,,,,,,,,,,,,,,,
lclc195747_g2_i1m.945,G7YXW7,,,,,,,,,,,,,,,,
lclc197075_g1_i1m.996,A0A2B4RST7,,,,,,,,,,,,,,,,
lclc197761_g2_i1m.1014,A0A2B4RIX3,,,,,,,,,,,,,,,,
lclc198620_g1_i2m.1049,W5KHC8,,,,,,,,,,,,,,,,
