protid,protLen,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ALBU_BOVIN,607,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,16,0,0,0
CAS1_BOVIN,214,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
CASB_BOVIN,224,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CYC_HUMAN,104,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,0
K1C10_HUMAN,593,2,11,1,2,5,4,5,6,1,6,4,2,0,7,7,6,3,9,3,0
K1C15_SHEEP,453,0,0,0,0,2,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0
K1C9_HUMAN,623,0,16,0,1,0,1,0,1,1,1,3,1,5,2,5,2,2,4,5,5
K1M1_SHEEP,412,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
K22E_HUMAN,645,2,9,4,2,4,4,6,6,2,6,6,2,4,4,4,5,2,7,2,2
K2C1_HUMAN,643,1,15,9,5,7,11,9,9,9,12,12,4,13,18,10,8,2,13,7,10
K2M2_SHEEP,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRA3_SHEEP,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lcl|c129535_g1_i1|m.155,581,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
lcl|c141061_g1_i1|m.229,205,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0
lcl|c143056_g1_i1|m.250,150,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
lcl|c145576_g1_i1|m.265,147,2,2,1,7,8,5,2,6,0,4,3,4,3,4,4,5,2,1,2,2
lcl|c157567_g1_i1|m.372,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lcl|c163027_g1_i3|m.422,260,3,2,2,1,2,3,2,1,3,0,0,0,0,0,0,1,0,0,1,0
lcl|c164490_g1_i1|m.440,278,16,14,14,14,16,21,21,14,11,19,10,10,4,8,11,10,7,6,8,9
lcl|c167783_g1_i1|m.480,134,0,1,0,0,0,2,1,2,0,1,2,0,1,0,1,0,0,1,1,0
lcl|c169761_g1_i1|m.505,502,1,3,1,6,0,1,2,5,2,1,3,11,4,4,0,8,1,3,2,11
lcl|c176627_g1_i2|m.576,287,0,1,2,0,0,6,0,2,0,0,8,1,0,2,0,0,6,0,0,0
lcl|c176630_g1_i1|m.578,375,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
lcl|c177410_g1_i1|m.597,156,2,1,0,0,0,1,3,0,2,1,0,0,1,0,0,0,0,2,0,0
lcl|c182463_g1_i1|m.663,145,1,1,0,0,1,1,1,0,0,0,2,3,2,4,2,0,1,2,0,1
lcl|c184118_g1_i1|m.691,140,30,32,30,32,38,33,29,38,21,35,32,24,28,31,31,27,29,29,24,19
lcl|c187253_g2_i1|m.744,358,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
lcl|c188047_g2_i2|m.760,688,1,2,2,1,1,3,4,1,1,2,1,0,0,0,2,2,0,0,2,0
lcl|c192621_g3_i1|m.866,226,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
lcl|c194625_g1_i1|m.911,173,2,1,0,1,3,0,1,1,0,7,1,1,1,2,0,1,0,1,0,0
lcl|c195747_g2_i1|m.945,100,102,132,88,146,124,103,95,115,99,128,106,176,150,179,152,135,130,130,124,138
lcl|c197607_g1_i1|m.1006,109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lcl|c198620_g1_i2|m.1049,143,3,3,1,2,2,4,3,4,2,3,1,3,4,2,2,1,1,0,4,3
lcl|c198665_g3_i2|m.1050,232,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
lcl|c199545_g1_i1|m.1080,279,2,0,0,0,1,1,1,2,0,0,1,1,0,0,0,1,0,1,0,0
lcl|c199810_g1_i2|m.1089,141,0,0,0,2,1,0,0,1,0,1,3,3,1,1,2,3,1,0,0,1
lcl|c201141_g1_i1|m.1178,281,0,5,2,1,4,3,4,6,1,6,0,1,0,0,0,0,0,0,0,0
lcl|c201155_g1_i1|m.1182,295,8,8,6,5,7,6,8,5,3,7,5,4,6,2,1,1,3,4,5,2
