GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0006457	protein folding	biological_process	9.97E-1		lcl|c241148_g1_i6|m.28240,lcl|c220638_g5_i1|m.7054,lcl|c220897_g5_i4|m.7224,lcl|c238537_g2_i7|m.24631,lcl|c227202_g1_i3|m.12234,lcl|c217534_g1_i2|m.5231,lcl|c237440_g3_i2|m.23273,lcl|c243554_g1_i5|m.31071,lcl|c233767_g1_i3|m.18989,lcl|c231068_g6_i2|m.15939	
GO:0031328	positive regulation of cellular biosynthetic process	biological_process	1E0		lcl|c232221_g3_i2|m.17155,lcl|c223077_g2_i1|m.8858	
GO:0006119	oxidative phosphorylation	biological_process	1E0		lcl|c220936_g1_i1|m.7247	
GO:0031329	regulation of cellular catabolic process	biological_process	1E0		lcl|c204019_g3_i1|m.1367	
GO:0031331	positive regulation of cellular catabolic process	biological_process	1E0		lcl|c204019_g3_i1|m.1367	
GO:0031333	negative regulation of protein complex assembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c216621_g3_i1|m.4676	
GO:0031334	positive regulation of protein complex assembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c229340_g1_i1|m.14173,lcl|c240857_g5_i1|m.27819	
GO:0045454	cell redox homeostasis	biological_process	1E0		lcl|c227562_g6_i1|m.12582,lcl|c227332_g2_i2|m.12341,lcl|c219883_g1_i2|m.6624,lcl|c244255_g3_i1|m.31943,lcl|c236035_g1_i2|m.21599	
GO:0022900	electron transport chain	biological_process	1E0		lcl|c222459_g5_i1|m.8379,lcl|c220936_g1_i1|m.7247,lcl|c240035_g1_i1|m.26689,lcl|c236035_g1_i2|m.21599	
GO:1901879	regulation of protein depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:1901880	negative regulation of protein depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0051596	methylglyoxal catabolic process	biological_process	1E0		lcl|c231864_g5_i1|m.16720	
GO:0051604	protein maturation	biological_process	1E0		lcl|c242793_g1_i1|m.30227,lcl|c225618_g2_i6|m.10783	
GO:0006139	nucleobase-containing compound metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c223454_g1_i3|m.9139,lcl|c240688_g3_i1|m.27609,lcl|c220936_g1_i1|m.7247,lcl|c230184_g2_i3|m.15031,lcl|c230032_g6_i1|m.14874,lcl|c215465_g1_i1|m.4044,lcl|c243614_g4_i2|m.31123,lcl|c224026_g2_i4|m.9562,lcl|c241916_g1_i1|m.29146,lcl|c223247_g3_i6|m.8971,lcl|c224242_g3_i7|m.9677,lcl|c225931_g4_i1|m.11061,lcl|c221189_g3_i1|m.7459,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097,lcl|c239610_g1_i3|m.26053	
GO:0045010	actin nucleation	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c229340_g1_i1|m.14173,lcl|c240857_g5_i1|m.27819	
GO:0006790	sulfur compound metabolic process	biological_process	1E0		lcl|c227537_g2_i4|m.12549,lcl|c227188_g1_i1|m.12222,lcl|c241579_g2_i3|m.28729,lcl|c221189_g3_i1|m.7459	
GO:0006163	purine nucleotide metabolic process	biological_process	1E0		lcl|c223454_g1_i3|m.9139,lcl|c224242_g3_i7|m.9677,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0042278	purine nucleoside metabolic process	biological_process	1E0		lcl|c223454_g1_i3|m.9139,lcl|c224242_g3_i7|m.9677,lcl|c221189_g3_i1|m.7459,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0042254	ribosome biogenesis	biological_process	1E0		lcl|c230034_g1_i1|m.14877	
GO:0007264	small GTPase mediated signal transduction	biological_process	1E0		lcl|c219763_g5_i3|m.6564	
GO:0007265	Ras protein signal transduction	biological_process	1E0		lcl|c219763_g5_i3|m.6564	
GO:0015669	gas transport	biological_process	1E0		lcl|c234446_g3_i2|m.19850	
GO:0015671	oxygen transport	biological_process	1E0		lcl|c234446_g3_i2|m.19850	
GO:0015672	monovalent inorganic cation transport	biological_process	1E0		lcl|c224242_g3_i7|m.9677,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0032438	melanosome organization	biological_process	1E0		lcl|c225753_g2_i5|m.10911	
GO:0035567	non-canonical Wnt signaling pathway	biological_process	1E0		lcl|c236174_g2_i1|m.21787	
GO:0006164	purine nucleotide biosynthetic process	biological_process	1E0		lcl|c223454_g1_i3|m.9139,lcl|c224242_g3_i7|m.9677,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0046128	purine ribonucleoside metabolic process	biological_process	1E0		lcl|c223454_g1_i3|m.9139,lcl|c224242_g3_i7|m.9677,lcl|c221189_g3_i1|m.7459,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0046129	purine ribonucleoside biosynthetic process	biological_process	1E0		lcl|c223454_g1_i3|m.9139,lcl|c224242_g3_i7|m.9677,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0006172	ADP biosynthetic process	biological_process	1E0		lcl|c223454_g1_i3|m.9139	
GO:0051641	cellular localization	biological_process	1E0		lcl|c227322_g4_i4|m.12336,lcl|c243675_g4_i3|m.31228,lcl|c239887_g1_i1|m.26471,lcl|c218374_g4_i1|m.5754,lcl|c216621_g3_i1|m.4676,lcl|c226971_g4_i11|m.11980,lcl|c225618_g2_i6|m.10783	
GO:0032456	endocytic recycling	biological_process	1E0		lcl|c239887_g1_i1|m.26471	
